forecast_date,published_level,published_rank_high_to_low,daily_published_level_count,rank_depth_pct,bearish_cascade_role,cascade_zone,expected_reaction_strength,continuation_risk,reaction_priority_score,member_commentary,technical_commentary,approx_touch_sequence_hint,sample_warning,date,level_name,level_price,source,notes,source_date_column,source_level_column,cascade_research_basis,research_only,historical_row_count,historical_unique_dates,historical_median_reaction_points,historical_mean_reaction_points,historical_median_adverse_points,historical_pct_strong_reaction,historical_pct_weak_or_fail,historical_pct_failure,historical_pct_next_lower_hit,historical_median_touch_sequence_rank,historical_most_common_status,source_file,live_source_path,source_kind,source_level_column_live_resolved,cluster_id_high_to_low,cluster_source_count,cluster_min_level,cluster_max_level,cluster_width_points,cluster_source_levels,cluster_source_paths,cluster_source_files,is_clustered_live_level,cluster_note
2026-08-24,4926.56,1,23,0.043478260869565216,early_continuation_risk,Early bearish touch / continuation-risk zone,Low to medium,High,35,Early bearish intraday level. Historical cascade testing suggests the first bearish touch is more vulnerable to weak reaction or continuation. Do not assume reversal without confirmed reaction.,First/upper bearish intradays often act as drive-mode checkpoints rather than full reversal zones.,Likely early touch if price sells off from above.,,,,,,,json_forecast_date,structural_level,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,3.0,3.0,38.26999999999953,47.79666666666648,79.35999999999967,66.66666666666666,33.33333333333333,0.0,66.66666666666666,1.0,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/8/structural_level,live_publish_package_json,structural_level,1.0,1.0,4926.56,4926.56,0.0,4926.56,zones/8/structural_level,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
2026-08-24,4882.95,2,23,0.08695652173913043,early_continuation_risk,Early bearish touch / continuation-risk zone,Low to medium,High,35,Early bearish intraday level. Historical cascade testing suggests the first bearish touch is more vulnerable to weak reaction or continuation. Do not assume reversal without confirmed reaction.,First/upper bearish intradays often act as drive-mode checkpoints rather than full reversal zones.,Likely early touch if price sells off from above.,,,,,,,json_forecast_date,structural_level,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,4.0,4.0,51.58999999999969,69.30999999999995,34.664999999999964,100.0,0.0,0.0,25.0,2.0,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/9/structural_level,live_publish_package_json,structural_level,2.0,1.0,4882.95,4882.95,0.0,4882.95,zones/9/structural_level,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
2026-08-24,4840.78,3,23,0.13043478260869565,early_continuation_risk,Early bearish touch / continuation-risk zone,Low to medium,High,35,Early bearish intraday level. Historical cascade testing suggests the first bearish touch is more vulnerable to weak reaction or continuation. Do not assume reversal without confirmed reaction.,First/upper bearish intradays often act as drive-mode checkpoints rather than full reversal zones.,Likely early touch if price sells off from above.,,,,,,,json_forecast_date,structural_level,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,14.0,14.0,21.17999999999984,33.502857142857074,34.54500000000007,57.14285714285714,42.85714285714285,14.285714285714285,42.85714285714285,1.0,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/6/structural_level,live_publish_package_json,structural_level,3.0,1.0,4840.78,4840.78,0.0,4840.78,zones/6/structural_level,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
2026-08-24,4795.75,4,23,0.17391304347826086,early_continuation_risk,Early bearish touch / continuation-risk zone,Low to medium,High,35,Early bearish intraday level. Historical cascade testing suggests the first bearish touch is more vulnerable to weak reaction or continuation. Do not assume reversal without confirmed reaction.,First/upper bearish intradays often act as drive-mode checkpoints rather than full reversal zones.,Likely early touch if price sells off from above.,,,,,,,json_forecast_date,structural_level,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,47.0,47.0,23.590000000000146,28.054893617021246,23.699999999999815,55.319148936170215,44.680851063829785,23.404255319148938,31.91489361702128,1.0,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/10/structural_level,live_publish_package_json,structural_level,4.0,1.0,4795.75,4795.75,0.0,4795.75,zones/10/structural_level,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
2026-08-24,4752.14,5,23,0.21739130434782608,early_continuation_risk,Early bearish touch / continuation-risk zone,Low to medium,High,35,Early bearish intraday level. Historical cascade testing suggests the first bearish touch is more vulnerable to weak reaction or continuation. Do not assume reversal without confirmed reaction.,First/upper bearish intradays often act as drive-mode checkpoints rather than full reversal zones.,Likely early touch if price sells off from above.,,,,,,,json_forecast_date,structural_level,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,86.0,86.0,24.164999999999964,32.09174418604652,21.26000000000022,62.7906976744186,37.2093023255814,13.953488372093023,30.23255813953488,1.0,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/11/structural_level,live_publish_package_json,structural_level,5.0,1.0,4752.14,4752.14,0.0,4752.14,zones/11/structural_level,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
2026-08-24,4710.69,6,23,0.2608695652173913,transition_reaction_watch,Transition zone,Medium,Medium,55,"Transition area. If price has already worked through the upper intradays, reaction potential starts to improve. Watch for confirmed bounce/reclaim behaviour rather than forcing a level touch.",Reaction odds start improving as price moves beyond early bearish intradays.,Historically similar to the second-touch / transition area.,,,,,,,json_forecast_date,structural_level,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,79.0,79.0,28.609999999999676,36.352278481012696,23.15000000000009,78.48101265822784,21.518987341772156,3.79746835443038,46.83544303797469,2.0,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/0/structural_level,live_publish_package_json,structural_level,6.0,1.0,4710.69,4710.69,0.0,4710.69,zones/0/structural_level,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
2026-08-24,4707.66,7,23,0.30434782608695654,primary_bearish_reaction_zone,Primary reaction zone,High,Lower,75,"Primary bearish reaction zone. Later bearish touch sequence levels historically showed stronger median reactions than the first touched level. Treat as a reaction-watch area, not an automatic signal.",Cascade research favours stronger reaction from later touched lower intradays.,Historically similar to the third-touch reaction area.,,,,,,,json_forecast_date,zone_price,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,69.0,69.0,39.23000000000047,47.36000000000003,17.82000000000062,88.40579710144928,11.594202898550725,1.4492753623188406,37.68115942028986,3.0,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/0/zone_price,live_publish_package_json,zone_price,7.0,1.0,4707.66,4707.66,0.0,4707.66,zones/0/zone_price,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
2026-08-24,4704.62,8,23,0.34782608695652173,primary_bearish_reaction_zone,Primary reaction zone,High,Lower,75,"Primary bearish reaction zone. Later bearish touch sequence levels historically showed stronger median reactions than the first touched level. Treat as a reaction-watch area, not an automatic signal.",Cascade research favours stronger reaction from later touched lower intradays.,Historically similar to the fourth-touch reaction area.,,,,,,,json_forecast_date,carry_level,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,39.0,39.0,48.71999999999935,58.420256410256265,28.890000000000327,92.3076923076923,7.6923076923076925,0.0,46.15384615384615,4.0,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/0/carry_level,live_publish_package_json,carry_level,8.0,1.0,4704.62,4704.62,0.0,4704.62,zones/0/carry_level,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
2026-08-24,4681.94,9,23,0.391304347826087,primary_bearish_reaction_zone,Primary reaction zone,High,Lower,75,"Primary bearish reaction zone. Later bearish touch sequence levels historically showed stronger median reactions than the first touched level. Treat as a reaction-watch area, not an automatic signal.",Cascade research favours stronger reaction from later touched lower intradays.,Historically a deep-ladder reaction area.,,,,,,,json_forecast_date,carry_level,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,24.0,24.0,49.45499999999993,63.3145833333334,36.84999999999991,91.66666666666666,8.333333333333332,0.0,45.83333333333333,4.5,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/12/carry_level,live_publish_package_json,carry_level,9.0,1.0,4681.94,4681.94,0.0,4681.94,zones/12/carry_level,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
2026-08-24,4664.93,10,23,0.43478260869565216,deep_exhaustion_extension_zone,Deep exhaustion / extension zone,High but extended,Context-dependent,65,"Deep bearish extension zone. Strong reaction is possible because price is stretched, but context risk is higher. Use only with confirmation from EMA5 / structure / price reaction.",Deep extension can react strongly but may also reflect high-volatility exhaustion.,Deep touch sequence / extension area.,,,,,,,json_forecast_date,structural_level,Bearish reaction cascade v1.2: later bearish touch sequence levels showed larger median reaction and higher strong-reaction rate than the first touch.,Research only. Not a trading signal.,11.0,11.0,55.02999999999975,77.1536363636365,50.25,90.9090909090909,9.090909090909092,0.0,45.45454545454545,6.0,strong_reaction,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,zones/1/structural_level,live_publish_package_json,structural_level,10.0,1.0,4664.93,4664.93,0.0,4664.93,zones/1/structural_level,C:\Trading\Publish\PrimeViewFX_Static_Site\data\primeviewfx_members_integrated_map_v1.json,False,Single live level; no merge needed.
